"Stock","yr","ct","bt"
"CSIRO-BIGHTREDSE-1958-2007-FULTON",1999,323.641,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",2000,387.879,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",2001,262.613,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",2002,424.672,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",2003,946.477,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",2004,937.456,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",2005,789.704,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON",2006,1023.91,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1978,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1979,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1980,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1981,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1982,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1983,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1984,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1985,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1986,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1987,0,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1988,312.491,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1989,394.672,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1990,420.152,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1991,608.128,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1992,508.162,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1993,585.072,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1994,1254.8,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1995,1551.59,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1996,1459.34,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1997,1010.35,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1998,680.659,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",1999,544.992,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2000,776.912,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2001,963.613,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2002,1866.03,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2003,2482.09,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2004,2264.12,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2005,1545.6,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",2006,1039.69,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1913,0,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1914,0,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1915,49,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1916,50,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1917,58,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1918,89,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1919,99,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1920,145,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1921,143,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1922,102,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1923,98,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1924,162,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1925,235,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1926,259,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1927,327,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1928,391,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1929,450,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1930,402,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1931,420,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1932,385,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1933,352,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1934,330,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1935,364,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1936,402,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1937,427,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1938,430,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1939,430,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1940,92,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1941,100,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1942,20,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1943,7,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1944,256,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1945,565,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1946,1813,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1947,2317,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1948,1745,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1949,1516,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1950,1118,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1951,1189,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1952,1506,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1953,1352,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1954,1674,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1955,1577,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1956,2139,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1957,2208,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1958,1758,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1959,1502,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1960,1088,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1961,1201,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1962,2489,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1963,1950,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1964,1472,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1965,2210,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1966,2709,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1967,1237,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1968,1846,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1969,1442,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1970,1362,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1971,1582,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1972,1525,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1973,1925,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1974,1843,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1975,1969,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1976,1841,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1977,1361,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1978,1624,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1979,1649,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1980,2556,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1981,2347,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1982,1789,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1983,1806,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1984,1733,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1985,1096,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1986,903,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1987,1099,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1988,1459,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1989,1565,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1990,908,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1991,1088,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1992,722,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1993,1063,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1994,937,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1995,848,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1996,952,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1997,1182,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1998,897,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",1999,906,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2000,813,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2001,572,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2002,602,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2003,586,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2004,587,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2005,609,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2006,604,NA
"CSIRO-MORWONGSE-1913-2007-FULTON",2007,396,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1968,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1969,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1970,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1971,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1972,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1973,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1974,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1975,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1976,0,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1977,94.6,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1978,114.3,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1979,137.5,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1980,215.1,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1981,298.6,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1982,348,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1983,426.8,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1984,511.8,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1985,571.1,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1986,591.7,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1987,631.1,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1988,644.8,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1989,611.3,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1990,565,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1991,545,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1992,688.7,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1993,1030,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1994,900.9,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1995,1043.8,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1996,1144.7,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1997,1139.2,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1998,1178.1,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",1999,1287.1,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2000,1089.7,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2001,874.2,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2002,722.7,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2003,882.8,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2004,848,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2005,767.8,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2006,736,NA
"CSIRO-NZLINGESE-1968-2007-FULTON",2007,736,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1968,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1969,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1970,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1971,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1972,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1973,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1974,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1975,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1976,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1977,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1978,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1979,2.9,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1980,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1981,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1982,8.5,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1983,0,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1984,0.7,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1985,123.6,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1986,138.6,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1987,245.4,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1988,132.3,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1989,220.4,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1990,164.6,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1991,255.5,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1992,207.5,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1993,588,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1994,536.1,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1995,652.7,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1996,847.1,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1997,847.9,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1998,922,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",1999,799.8,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2000,789.9,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2001,864,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2002,877.6,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2003,725.1,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2004,760.7,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2005,604.6,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2006,465,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON",2007,465,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1978,0,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1979,0,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1980,0,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1981,0,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1982,0,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1983,0,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1984,0,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1985,6,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1986,60,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1987,310,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1988,1949,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1989,28575,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1990,34502,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1991,20436,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1992,24265,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1993,8798,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1994,4140,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1995,2544,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1996,2231,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1997,2250,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1998,2087,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",1999,2052,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",2000,2109,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",2001,2027,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",2002,1674,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",2003,877,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",2004,797,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",2005,772,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON",2006,772,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1975,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1976,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1977,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1978,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1979,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1980,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1981,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1982,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1983,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1984,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1985,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1986,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1987,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1988,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1989,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1990,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1991,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1992,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1993,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1994,417.5974,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1995,926.0488,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1996,487.7602,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1997,188.8232,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1998,56.94769,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",1999,11.21103,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2000,26.40701,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2001,0,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2002,37.83172,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2003,355.1502,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2004,58.96922,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2005,267.0342,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2006,238.4282,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2007,243.2288,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2008,308.7667,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY",2009,68.71896,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1978,0,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1979,0,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1980,77.93,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1981,155.87,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1982,233.8,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1983,311.73,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1984,389.66,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1985,467.6,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1986,1280.01,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1987,924.37,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1988,2040.35,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1989,916.93,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1990,1629.2,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1991,1536.01,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1992,1255.31,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1993,1992.52,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1994,2388.91,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1995,3048.08,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1996,2588.06,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1997,2430.81,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1998,2670.51,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",1999,2649.11,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",2000,3992.17,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",2001,3413.97,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",2002,4460.23,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",2003,3123.68,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",2004,3478.15,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",2005,2699.15,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON",2006,2585.3,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1945,0,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1946,0,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1947,126.2536,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1948,269.8113,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1949,128.7938,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1950,48.52505,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1951,91.60701,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1952,27.21,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1953,47.16402,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1954,60.76897,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1955,50.79196,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1956,39.90804,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1957,48.32994,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1958,98.39107,NA
"CSIRO-SWHITSE-1945-2007-FULTON",1959,192.7487,NA
