"Region","Subregion","Stock","Name","EnglishName","ScientificName","SpecCode","Group","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSYBtrigger","B40","M","Fofl","SSB","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"New Zealand","New Zealand","NIWA-AUSSALMONNZ-1975-2006-JENSEN","Australian salmon","Australian salmon","Arripis trutta",NA,"Miscellaneous coastal fishes","RAMLDB",1975,2006,1975,2006,NA,NA,NA,NA,NA,0.32,NA,NA,0.18,NA,12280.72932,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","East coast of North Island","NIWA-BKCDLFENI-1923-2009-CORDUE","Black cardinalfish","Black cardinalfish","Epigonus telescopus",NA,"Miscellaneous demersal fishes","RAMLDB",1923,2009,1983,2009,NA,NA,NA,NA,6054.545455,NA,NA,NA,0.04,NA,8428,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Pukaki Rise","NIWA-BLACKOREOPR-1974-2009-CORDUE","Black oreo","Black oreo","Allocyttus niger",NA,"Miscellaneous demersal fishes","RAMLDB",1974,2009,1979,2009,NA,NA,NA,NA,7444.444444,NA,NA,NA,0.04,NA,7347,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","NZ Area STA7","NIWA-GSTRGZRSTA7-1964-2007-CORDUE","Giant stargazer","Giant stargazer","Kathetostoma giganteum",NA,"Miscellaneous demersal fishes","RAMLDB",1964,2007,1964,2007,NA,NA,NA,NA,NA,0.38,NA,NA,0.18,NA,2568,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Eastern New Zealand","NIWA-HOKIENZ-1970-2012-CORDUE","Hoki","Hoki","Macruronus novaezelandiae",NA,"Cods, hakes, haddocks","RAMLDB",1972,2012,1972,2012,NA,NA,NA,NA,307142.8571,NA,NA,NA,0.29,NA,106984.5,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Western New Zealand","NIWA-HOKIWNZ-1970-2012-CORDUE","Hoki","Hoki","Macruronus novaezelandiae",NA,"Cods, hakes, haddocks","RAMLDB",1972,2012,1972,2012,NA,NA,NA,NA,508000,NA,NA,NA,0.29,NA,189665,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Areas LIN 3 and 4","NIWA-NZLINGLIN3-4-1968-2011-CORDUE","New Zealand ling","New Zealand ling","Genypterus blacodes",NA,"Miscellaneous demersal fishes","RAMLDB",1968,2011,1973,2011,NA,NA,NA,NA,NA,0.19,NA,NA,0.1,NA,59489,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Areas LIN 5 and 6","NIWA-NZLINGLIN5-6-1968-2011-CORDUE","New Zealand ling","New Zealand ling","Genypterus blacodes",NA,"Miscellaneous demersal fishes","RAMLDB",1968,2011,1973,2011,NA,NA,NA,NA,NA,0.49,NA,NA,0.21,NA,69432,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Chatham Rise","NIWA-OROUGHYCR-1979-2006-CORDUE","Orange roughy","Orange roughy","Hoplostethus atlanticus",NA,"Miscellaneous demersal fishes","RAMLDB",1979,2006,1980,2006,NA,NA,NA,NA,22666.66667,NA,NA,NA,0.05,NA,22502,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Mid East Coast","NIWA-OROUGHYNZMEC-1909-2011-CORDUE","Orange roughy","Orange roughy","Hoplostethus atlanticus",NA,"Miscellaneous demersal fishes","RAMLDB",1909,2011,1982,2011,NA,NA,NA,NA,NA,0.04,NA,NA,0.03,NA,24042,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","NZ Area North PAUA 5A","NIWA-PAUANPAU5A-1965-2010-CORDUE","Blackfoot abalone","Blackfoot abalone","Haliotis iris",NA,"Abalones, winkles, conchs","RAMLDB",1965,2010,1965,2010,NA,NA,NA,NA,123.5294118,0.510000003,NA,NA,0.18,NA,276,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Area PAU 7 (Marlborough)","NIWA-PAUAPAU7-1965-2011-CORDUE","Blackfoot abalone","Blackfoot abalone","Haliotis iris",NA,"Abalones, winkles, conchs","RAMLDB",1965,2011,1965,2011,NA,NA,NA,NA,654.5454545,0.330000005,NA,NA,0.14,NA,1108,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","NZ Area South PAUA 5A","NIWA-PAUASPAU5A-1965-2009-CORDUE","Blackfoot abalone","Blackfoot abalone","Haliotis iris",NA,"Abalones, winkles, conchs","RAMLDB",1965,2009,1965,2009,NA,NA,NA,NA,234.2857143,0.210000007,NA,NA,0.12,NA,332.352,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Bay of Plenty","NIWA-SCMPBP-1985-2010-CORDUE","Scampi","Scampi","Metanephrops challengeri",NA,"Lobsters, spiny-rock lobsters","RAMLDB",1985,2010,1987,2010,NA,NA,NA,NA,NA,0.54,NA,NA,0.2,NA,624,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Wairarapa/Hawke Bay","NIWA-SCMPWHB-1985-2010-CORDUE","Scampi","Scampi","Metanephrops challengeri",NA,"Lobsters, spiny-rock lobsters","RAMLDB",1985,2010,1988,2010,NA,NA,NA,NA,NA,0.51,NA,NA,0.2,NA,625,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Bounty Plateau","NIWA-SMOOTHOREOBP-1983-2008-CORDUE","Smooth oreo","Smooth oreo","Pseudocyttus maculatus",NA,"Miscellaneous demersal fishes","RAMLDB",1983,2008,1984,2008,NA,NA,NA,NA,6385.714286,NA,NA,NA,0.06,NA,4275,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Chatham Rise","NIWA-SMOOTHOREOCR-1978-2010-CORDUE","Smooth oreo","Smooth oreo","Pseudocyttus maculatus",NA,"Miscellaneous demersal fishes","RAMLDB",1978,2010,1979,2010,NA,NA,NA,NA,43300,NA,NA,NA,0.06,NA,39603,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","East Pukaki Rise","NIWA-SMOOTHOREOEPR-1973-2006-CORDUE","Smooth oreo","Smooth oreo","Pseudocyttus maculatus",NA,"Miscellaneous demersal fishes","RAMLDB",1973,2006,1981,2006,NA,NA,NA,NA,5537.5,NA,NA,NA,0.06,NA,4239,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Southland","NIWA-SMOOTHOREOSLD-1973-2007-CORDUE","Smooth oreo","Smooth oreo","Pseudocyttus maculatus",NA,"Miscellaneous demersal fishes","RAMLDB",1973,2007,1978,2007,NA,NA,NA,NA,NA,0.08,NA,NA,0.06,NA,5216.87,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","West end of Chatham Rise","NIWA-SMOOTHOREOWECR-1965-2009-CORDUE","Smooth oreo","Smooth oreo","Pseudocyttus maculatus",NA,"Miscellaneous demersal fishes","RAMLDB",1965,2009,1973,2009,NA,NA,NA,NA,18158.33333,NA,NA,NA,0.06,NA,21119,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Sub-Antarctic","NIWA-SOUTHHAKESA-1974-2011-CORDUE","Southern hake","Southern hake","Merluccius australis",NA,"Cods, hakes, haddocks","RAMLDB",1974,2011,1975,2011,NA,NA,NA,NA,20851.06383,NA,NA,NA,0.19,NA,19462,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","Sub-Antarctic","NIWA-TARAKNZ-1932-2007-CORDUE","Hawaiian morwong","Hawaiian morwong","Nemadactylus macropterus",NA,"Miscellaneous demersal fishes","RAMLDB",1932,2007,1932,2007,NA,NA,NA,NA,NA,0.1,NA,NA,0.1,NA,4864,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","West end of Chatham Rise","NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN","Black oreo","Black oreo","Allocyttus niger",NA,"Miscellaneous demersal fishes","RAMLDB",1973,2007,1973,2007,NA,NA,NA,NA,NA,0.0341,NA,NA,0.044,NA,27427,"Very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand","NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE","Bluenose","Bluenose","Hyperoglyphe antarctica",NA,"Miscellaneous demersal fishes","RAMLDB",1935,2011,1936,2011,NA,NA,NA,NA,NA,0.08,NA,NA,0.08,NA,10377,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Area 8 (Auckland and Central West)","NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN","New Zealand snapper","New Zealand snapper","Chrysophrys auratus",NA,"Miscellaneous coastal fishes","RAMLDB",1931,2005,1931,2005,NA,NA,NA,NA,NA,0.0923,NA,NA,0.0507649,NA,23536.1148,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Areas TRE 7","NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN","Trevally","Trevally","Pseudocaranx dentex",NA,"Miscellaneous pelagic fishes","RAMLDB",1944,2005,1944,2005,NA,NA,NA,NA,NA,0.113,NA,NA,0.1,NA,15634.89433,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","common gemfish","common gemfish","Rexea solandri",NA,"Miscellaneous demersal fishes","RAMLDB",1952,2006,1952,2006,NA,NA,NA,NA,NA,0.289566667,NA,NA,0.24,NA,1803.026167,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Areas LIN 6b","NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN","New Zealand ling","New Zealand ling","Genypterus blacodes",NA,"Miscellaneous demersal fishes","RAMLDB",1980,2006,1981,2006,NA,NA,NA,NA,NA,0.308,NA,NA,0.18,NA,3014.0994,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Areas LIN 72","NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN","New Zealand ling","New Zealand ling","Genypterus blacodes",NA,"Miscellaneous demersal fishes","RAMLDB",1972,2007,1973,2007,NA,NA,NA,NA,NA,0.246,NA,NA,0.18,NA,1700.080512,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"New Zealand","New Zealand Areas LIN 7WC-WCSI","NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN","New Zealand ling","New Zealand ling","Genypterus blacodes",NA,"Miscellaneous demersal fishes","RAMLDB",1972,2008,1973,2008,NA,NA,NA,NA,NA,0.202,NA,NA,0.22,NA,28029.9456,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"West Africa","West Africa","FAO-SPNWA-RSARDINWA-1990-2010-CHING","Round sardinella","Round sardinella","Sardinella aurita",NA,"Herrings, sardines, anchovies","RAMLDB",1990,2010,1990,2010,NA,NA,NA,NA,110021,0.26,NA,NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"West Africa","West Africa","FAO-SPNWA-SARDINWA-1990-2010-CHING","Sardinella","Sardinella","Sardinella spp",NA,"Herrings, sardines, anchovies","RAMLDB",1990,2010,1990,2010,NA,NA,NA,NA,1157840,0.28,NA,NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"West Africa","West Africa Zone C","FAO-SPNWA-SARDWAZC-1990-2010-CHING","European pilchard","European pilchard","Sardina pilchardus",NA,"Herrings, sardines, anchovies","RAMLDB",1990,2010,1990,2010,NA,NA,NA,NA,3400129.412,0.25,NA,NA,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"European Union","22-24-IIIa","HAWG-HERR2224IIIa-1991-2011-NEUBAUER","Herring","Herring","Clupea harengus",NA,"Herrings, sardines, anchovies","RAMLDB",1991,2010,1991,2010,NA,NA,NA,NA,110000,0.25,NA,NA,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"European Union","Bothnian Sea","WGBFAS-HERR30-1972-2011-NEUBAUER","Herring","Herring","Clupea harengus",NA,"Herrings, sardines, anchovies","RAMLDB",1973,2010,1973,2010,NA,NA,NA,NA,2e+05,0.19,NA,NA,0.2,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"European Union","Gulf of Riga East of Gotland","WGBFAS-HERRRIGA-1976-2011-NEUBAUER","Herring","Herring","Clupea harengus",NA,"Herrings, sardines, anchovies","RAMLDB",1977,2010,1977,2010,NA,NA,NA,NA,NA,0.35,NA,NA,0.2,NA,60000,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"European Union","West of Scotland","WGCSE-CODVIa-1981-2012-CHING","Atlantic cod","Atlantic cod","Gadus morhua",NA,"Cods, hakes, haddocks","RAMLDB",1981,2011,1981,2011,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,22000,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"US Alaska","North Pacific","IPHC-PHALNPAC-1888-2014-HIVELY","Pacific halibut","Pacific halibut","Hippoglossus stenolepis",NA,"Flounders, halibuts, soles","RAMLDB",1888,2014,1888,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65004,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Canada East Coast","N and SW Grand Banks","NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM","Sebastes species","Sebastes species","Sebastes spp",NA,"Miscellaneous demersal fishes","RAMLDB",1959,2007,1959,2007,NA,NA,NA,NA,141900,0.172,NA,NA,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Canada East Coast","Grand Banks","NAFO-SC-YELL3LNO-1960-2009-BAUM","Yellowtail flounder","Yellowtail flounder","Limanda ferruginea",NA,"Flounders, halibuts, soles","RAMLDB",1960,2007,1960,2007,NA,NA,NA,NA,73580,0.26,NA,NA,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"South America","North-Central Peruvian coast","IMARPE-PANCHPERUNC-1959-2008-HIVELY","Peruvian anchoveta","Peruvian anchoveta","Engraulis ringens",NA,"Herrings, sardines, anchovies","RAMLDB",1959,2008,1959,2008,NA,NA,NA,NA,6e+06,NA,NA,NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Russia Japan","Northern Sea of Okhotsk","VNIRO-WPOLLNSO-1963-2012-CHING","Walleye pollock","Walleye pollock","Theragra chalcogramma",NA,"Cods, hakes, haddocks","RAMLDB",1965,2008,1965,2008,NA,NA,NA,NA,5100000,0.295,NA,NA,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Russia Japan","Western Bering Sea","VNIRO-WPOLLWBS-1970-2008-CHING","Walleye pollock","Walleye pollock","Theragra chalcogramma",NA,"Cods, hakes, haddocks","RAMLDB",1970,2008,1970,2008,NA,NA,NA,NA,NA,0.126,NA,NA,NA,NA,362000,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"South Africa","South Africa","MARAM-CHAKESA-1917-2013-Rademeyer","Shallow-water cape hake","Shallow-water cape hake","Merluccius capensis",NA,"Cods, hakes, haddocks","RAMLDB",1917,2013,1917,2013,NA,NA,NA,NA,NA,0.32,NA,NA,0.47,NA,108600,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"South Africa","South Africa South coast","MARAM-CTRACSA-1949-2013-Furman","Cape horse mackerel","Cape horse mackerel","Trachurus capensis",NA,"Miscellaneous pelagic fishes","RAMLDB",1949,2012,1949,2012,NA,NA,NA,NA,307654.14,0.19,NA,NA,0.3,NA,234635.47,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"South Africa","South Africa","MARAM-DEEPCHAKESA-1917-2013-Rademeyer","Deep-water cape hake","Deep-water cape hake","Merluccius paradoxus",NA,"Cods, hakes, haddocks","RAMLDB",1917,2013,1942,2013,NA,NA,NA,NA,NA,0.35,NA,NA,0.47,NA,164300,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Indian Ocean","Southern Oceans","CCSBT-SC-SBT-1950-2011-CHING","Southern bluefin tuna","Southern bluefin tuna","Thunnus maccoyii",NA,"Tunas, bonitos, billfishes","RAMLDB",1950,2010,1952,2010,NA,NA,NA,NA,515838.5217,0.094,NA,NA,NA,NA,208448,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Pacific Ocean","Eastern Pacific","IATTC-BIGEYEEPAC-1975-2011-BRANCH","Bigeye tuna","Bigeye tuna","Thunnus obesus",NA,"Tunas, bonitos, billfishes","RAMLDB",1975,2010,1975,2010,NA,NA,NA,NA,311247,0.93,NA,NA,0.45,NA,70509,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Atlantic Ocean","Northeast Pacific","IATTC-STMARLINNEPAC-1954-2009-BRANCH","Striped marlin","Striped marlin","Kajikia audax",NA,"Tunas, bonitos, billfishes","RAMLDB",1954,2009,1954,2009,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1370,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Pacific Ocean","Northeast Pacific","IATTC-YFINEPAC-1975-2011-BRANCH","Yellowfin tuna","Yellowfin tuna","Thunnus albacares",NA,"Tunas, bonitos, billfishes","RAMLDB",1975,2010,1975,2010,NA,NA,NA,NA,354958,1.13,NA,NA,1.25,NA,3305,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Atlantic Ocean","Northern Atlantic","ICCAT-ALBANATL-1950-2010-CHING","Albacore tuna","Albacore tuna","Thunnus alalunga",NA,"Tunas, bonitos, billfishes","RAMLDB",1950,2010,1950,2010,NA,NA,NA,NA,86555.84499,0.175,NA,NA,NA,NA,53660,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
"Atlantic Ocean","Western Atlantic","ICCAT-ATBTUNAWATL-1950-2010-CHING","Atlantic bluefin tuna","Atlantic bluefin tuna","Thunnus thynnus",NA,"Tunas, bonitos, billfishes","RAMLDB",1950,2010,1950,2010,NA,NA,NA,NA,65073.65425,0.15,NA,NA,NA,NA,34157.87,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",FALSE,NA
